estrofes,emocoes
"A cada minuto  O tempo foge,  Quero dizer-te  Que no demores.  ",felicidade
A cidade é moderna  Dizia o cego a seu filho   Os olhos cheios de terra  O bonde fora dos trilhos   ,felicidade
A aventura começa no coração dos navios  Pensava o filho calado  Pensava o filho ouvindo  Que a cidade é moderna  ,felicidade
"A leve esperança,  A aérea esperança...  Aérea, pois não!  - Peso mais pesado",felicidade
"a leveza do passo  pode crê,acredite  a força o equilibrio  gravidade não existe",felicidade
"Me cego  Te enxergo  Não vai passar  O amor não tarda, está",felicidade
A minha terra é Viana  São estas ruas estreitas  São os navios que partem  E são as pedras que ficam  ,felicidade
Ó minha terra vestida  De cor de folha de rosa  Ó brancos saios de Perre  Vermelhinhos de Areosa,felicidade
"- Gente, quanta gente    Que excelente funeral   - Ficas bem de preto    E o cabelo ao natural   ",felicidade
- Dizem que o eminente    Triplicou seu capital   - Vai sobrar para gente    Que nem viu ele vivo   - Tem até donativo    Para as obras do hospital ,felicidade
- Por isso eu quero uma vez mais  Dizer que não é plágio  Essa divertida união  Que fiz de sua inspiração ,felicidade
"- to eu e aquela mina que eu tinha te tocado que ia botar na sua fita  Pode vir no sapato não precisa correr  Que o caô aqui na praça vai rolar até o amanhecer  Vou te aguarda, to bebendo uma gelada  Só vou voltar pra casa, depois da madrugada",felicidade
- Tudo bem?  - Tudo bom  - Qual seu nome?  - Vanessa  - Sabia que você tá revirando minha cabeça?  ,felicidade
- Me liguei  - Que maneiro que você se ligou! tô afim de te levar pra namorar  - Demorou!  Beijinho no rosto cada um pro seu lugar,felicidade
"-A gente quer é um lugar p'ra gente  A gente quer é de papel passado  Com festa, bolo e brigadeiro  A gente quer um canto sossegado  A gente quer um canto de sossego",felicidade
-Adriane e Clara mandam beijos pra vocês  (coisas que não cabem nos encartes dos CDs)  -Talvez no final do ano ou talvez no final do mês  dou um pulo em Porto Alegre (Silva Jardim 433),felicidade
-Estou pensando em casamento  Mas ainda não posso me casar  Eu sou rapaz direito  E fui escolhido pela menina mais bonita,felicidade
"-Trazemos no peito   os santos rosários,   rosários de penas,   rosários de fé   na vida liberta,   na paz dos quilombos   de negros e brancos   vermelhos no sangue",felicidade
"Me leva,  Me beija,  Me pega um segundo.  Me agarra,  Me deixa  Viver no seu mundo.  ",felicidade
"Me mostra,  Me encosta  Na paz do momento.  Me guarda  No nada,  É nosso esse tempo.",felicidade
"...e ter ainda uma porrada de saques  e jogadas brilhantes: te ganho pela insistência  com todas as bandeiras e saltos mortais, demências  todos os modos de ter por enquanto  de te flechar feito flecha cega:  ",felicidade
"'Eu não vou fazer nada de errado, eu te juro  Vem aqui, vamos nos conhecer'  'Vem aqui, fica aqui do meu lado, no escuro  Eu prometo cuidar de você'",felicidade
"'Eu não vou te fazer nenhum mal', ele disse  E então me pegou pela mão  Ele disse que era normal, que pedisse  E eu não tinha porque dizer não",felicidade
'Tô' descendo a serra  Cego pela cerração  Salvo pela imagem  Pela imaginação  De uma bailarina no asfalto  Fazendo curvas sobre patins,felicidade
"Ainda há uma chance para o mundo se salvar...  Existe uma revanche ,a nossa CHANCE DE GANHAR!",felicidade
Todos os pássaros  Anjos dentro de nós  Uma harmonia trazida  Dos rouxinóis,felicidade
"Você foi meu céu, minha estrela preferida  Luz que iluminou a minha vida  Você foi tudo que um dia eu sempre quis  Revelação de amor que um dia fui feliz",felicidade
"fechei os olhos e sonhei com o céu;  Do inferno eu vi a paz;  O sangue lá não escorre pelo chão;  Não existe cadáver, não se enterra caixão; ",felicidade
Telefonei para saudar-te   Dizendo a ela o que sentia   Como ela trouxe a solução   Meu coração logo esqueceu   ,felicidade
Toda paixão acreditei  No que foi prescrito  E em tudo que eu não  Acreditava depois do tempo  Em que levei sofrendo assim  Felicidade voltou pra mim,felicidade
Você quer  Ver na luz do meu olhar  Como eu te quero bem  Como eu te quero mar  ,felicidade
Eu não sei mais  Não sei se você quer  Eu posso te dar amor  Se você quiser,felicidade
Com você aqui bem perto  Juntinho do meu coração  Não viverei mais  Nessa solidão,felicidade
não se preocupem por que somos assim;  Somos da nova geração e não somos tão ruins.,felicidade
Me dê a mão  Vem ser a minha estrela  Complicação  Tão fácil de entender  ,felicidade
Vamos dançar  Luzir a madrugada  Inspiração  Pra tudo o que eu viver,felicidade
"Brasil, você é lindo!  500 anos te descobrindo!  Brasil, você é lindo!  500 anos te descobrindo!",felicidade
Caravelas ao mar!  Velas ao vento!  500 anos  Nosso momento ,felicidade
"A luz do dia, a noite me fascina  Quando o sol dorme, a lua que ilumina  O som que comove, tudo se resolve  Toda a beleza e a pureza que te envolve ",felicidade
(Eu compro)  Cordão Que agride Os pano De grife Mansão De elite Pra nós não tem limite,felicidade
(Eu disse que acreditassem!  Eu pedi que acreditassem!  Eu nunca deixei de acreditar!  Que o Grêmio ia ser campeão da América  Hoje... Esta noite... Em Porto Alegre),felicidade
"(Eu gosto das formas que tomas,  Como o toque do cristal,  E dos vidros, dos poemas,  Da febre do metal)",felicidade
(eu vou) vestir meu uniforme  O jogador não dorme campeão da rua  Invadir a sua quadra  Desafiar seu time a escolha é sua  (errou)  Se não tiver coragem é só assistir  O time de gigantes invadir,felicidade
(eu) gosto (muito) de cachorro vagabundo  que anda sozinho no mundo  sem coleira e sem patrão  gosto de cachorro de sarjeta  que quando escuta a corneta  sai atrás do batalhão,felicidade
"Numa superfície plana e retangular  Quando entro em quadra o jogo é sério,  entro pra ganhar  Penso em vitória quando piso na grama  Energia de vitoriosa no meu punho inflama  ",felicidade
"Eu vou sacar com a minha força incendiária  Vou quebrar o serviço no game da adversária  Quadra dividida, pra mim é o jogo da minha vida  Se bater com força vai ter força na minha rebatida  ",felicidade
Meninos só querem te dar um beijo  oh oh oh  E contam para todos que já te deram  Tomar uma cerveja as escondidas  E ver no cinema fitas proibidas,felicidade
"Vou defender o meu lado da quadra  Também vou partir pro ataque com a pressão na raquetada  Partida acirrada, foco no confronto  Comemoração e concentração a cada ponto ",felicidade
"A cada lance, a cada set, sendo eficiente  Mesmo estando embaixo do sol quente  Quero mais que participar  O jogo é sério e eu quero primeiro lugar!",felicidade
"Descobri que o Brasil parece um coração  Descobri que o Brasil é uma grande nação  O melhor lugar pra viver é aqui  Mas não foi Cabral, fui eu que descobri",felicidade
"Eu vou lutar e defender meu cinturão  Vou partir pra cima com a guarda alta para trocação, na pressão  Sufocar o desafiante, ou acredita em mim, isso me deixa confiante  ",felicidade
"Peso-pesado, minha categoria  Luva preta de pedra, representando a maioria  Depois de atropelar mostrando tudo que sei  Aperto a mão do adversário pra mostrar o meu ferplay!",felicidade
Menina bonita não vá para o mar  Menina bonita não vá para o mar  Vou me casar com meu lindo amor  No fundo do mar  ,felicidade
Do sol aos raios fúlgidos ao céu de puro anil  Erguendo o vulto atlético num gesto varonil  Da américa do sul o filho mais gentil  Aqui se ostenta intrépido o colossal brasil,felicidade
(O que é bom para o dono é bom para a voz  O que é bom para o dono é bom para vós  O que é bom para o dono é bom para nós),felicidade
Vem de uma remota batucada  Numa cadência bem marcada  Que uma baiana tem no andar  E nos seus requebros e maneiras  Na graça toda das palmeiras  Esguias de altaneiras a balançar!,felicidade
(Para colocar as mãos  Nas profundezas do teu corpo  Para arrancar a macumba  Para a glória  Em nome de Jesus Cristo!),felicidade
"E quando é assim, eu me sinto tão bem  Posso declarar o valor que você tem",felicidade
"Sigo tropando a vida, cada descida me impulsiona  pra voar mais alto na subida  Sem capacete, sem nenhuma proteção, é uma chance só  Preciso de um noventa e nove na sessão  ",felicidade
"Sonho de campeão  Corpo ralado, fraturado  Remendado e tô curando, pronto pra missão  O desafio existe, o corrimão é o batalhão  ",felicidade
"Quem chegou, veste a camisa  Motiva, divisa, torcida que vibra  frisa e reprisa o que imortaliza  Todos querem gol  ",felicidade
De manhã quando te levantas  Que briosa vais para o tear  E os hermínios tu encantas  Vestem lã para te namorar,felicidade
Ele chegou na ribeira  Chegou ligadão  Ele sorriu e beijou  Dez vezes o chão  ,felicidade
"Ele chegou sexta-feira  Guitarra e wah wah  Ah, ele sorriu e rezou  Só pra começar",felicidade
"Eu faço verso que resgata seu cérebro imerso,  no lado ruim da sociedade eu me disperso,  em rimas ricas e elaboradas estou submerso sobre a batida,  E a base e a rima, ta certo!",felicidade
"Iça, iça vela do barco  Mar do Atlântico Sul  Marinheiro João do Arco  Anjo do céu azul  Iça iça âncora vela três milhas do atol  Sol na nuca e o corpo dela ofusca a luz do sol",felicidade
"Teu sangue derramado sobre mim  Purifica-me  Restaura-me, Senhor  Eu quero voltar ao primeiro amor",felicidade
Meu coração é o seu  Seu coração é o meu  Meu coração é o seu  Seu coração é o meu,felicidade
"Que tudo que ofereço  É meu calor, meu endereço  A vida do teu filho  Desde o fim até o começo",felicidade
"Se for preciso subo ao palco  Com minha cara vermelha  Canto canções, karaokê de amor  Pra te namorar",felicidade
